taxon,residual
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae;sf_1;1805,-604.7642312
Bacteria;Firmicutes;Clostridia;Unclassified;Unclassified;sf_7;4216,-277.8825888
Bacteria;Cyanobacteria;Cyanobacteria;Chloroplasts;Chloroplasts;sf_5;5006,-270.0191152
Bacteria;Cyanobacteria;Cyanobacteria;Chloroplasts;Chloroplasts;sf_5;5182,-262.4313766
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;sf_1;6663,-256.7576906
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;sf_1;9337,65.44269305
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;sf_1;3277,59.6587304
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;sf_1;2002,57.23790843
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;sf_1;1529,55.38654786
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;sf_1;3715,42.68645125
